CLASS,AGE,SEX,SURVIVED
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Niño,Hombre,Sobrevive
1a,Niño,Hombre,Sobrevive
1a,Niño,Hombre,Sobrevive
1a,Niño,Hombre,Sobrevive
1a,Niño,Hombre,Sobrevive
1a,Niño,Mujer,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Hombre,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
2a,Niño,Mujer,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Sobrevive
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
